"","sid","frame_size","magnitude","task"
"322","30201cc","Medium",0.138893700299986,"combined_saccade"
"323","30201cc","Large",0.347971091987486,"combined_saccade"
"324","30201cc","Extra Large",-0.140533298208735,"combined_saccade"
"325","30201ms","Small",7.35892665182714,"combined_saccade"
"326","30201ms","Medium",6.1519989349703,"combined_saccade"
"327","30201ms","Large",4.13816342385853,"combined_saccade"
"328","30201ms","Extra Large",3.86713443176171,"combined_saccade"
"329","30202is","Small",2.22680566048393,"combined_saccade"
"330","30202is","Medium",3.02507839992568,"combined_saccade"
"331","30202is","Large",3.5388915121028,"combined_saccade"
"332","30202is","Extra Large",1.01411768470852,"combined_saccade"
"333","30205gr","Small",1.94456293393707,"combined_saccade"
"334","30205gr","Medium",-0.537238105149237,"combined_saccade"
"335","30205gr","Large",1.66012691207728,"combined_saccade"
"336","30205gr","Extra Large",1.54681014196576,"combined_saccade"
"337","30205jp","Small",2.21888433315953,"combined_saccade"
"338","30205jp","Medium",2.26794061711888,"combined_saccade"
"339","30205jp","Large",0.639124869271634,"combined_saccade"
"340","30205jp","Extra Large",0.984906394142964,"combined_saccade"
"341","30205sb","Small",-0.0850693279959915,"combined_saccade"
"342","30205sb","Medium",-0.160845692854712,"combined_saccade"
"343","30205sb","Large",0.126006551170309,"combined_saccade"
"344","30205sb","Extra Large",0.752219775006607,"combined_saccade"
"345","30208lj","Small",9.82322938051875,"combined_saccade"
"346","30208lj","Medium",6.06341055470027,"combined_saccade"
"347","30208lj","Large",4.58728105289577,"combined_saccade"
"348","30208lj","Extra Large",2.86287001493737,"combined_saccade"
"349","30217af","Small",2.48525161904903,"combined_saccade"
"350","30217af","Medium",-0.004894201348143,"combined_saccade"
"351","30217af","Large",2.08585060165446,"combined_saccade"
"352","30217af","Extra Large",-0.152496434792091,"combined_saccade"
"353","30301av","Small",2.26606772092175,"combined_saccade"
"354","30301av","Medium",3.0870097508168,"combined_saccade"
"355","30301av","Large",2.23409140203252,"combined_saccade"
"356","30301av","Extra Large",1.89166240654184,"combined_saccade"
"357","30301sb","Small",3.55731586421576,"combined_saccade"
"358","30301sb","Medium",2.81592193537003,"combined_saccade"
"359","30301sb","Large",4.13749654723237,"combined_saccade"
"360","30301sb","Extra Large",-0.514631278245851,"combined_saccade"
"361","30302sw","Small",5.96120715483742,"combined_saccade"
"362","30302sw","Medium",9.67980271909407,"combined_saccade"
"363","30302sw","Large",8.04578307322543,"combined_saccade"
"364","30302sw","Extra Large",6.89125328760725,"combined_saccade"
"365","30303nm","Small",0.77218717250431,"combined_saccade"
"366","30303nm","Medium",0.537693663832116,"combined_saccade"
"367","30303nm","Large",1.17917731355189,"combined_saccade"
"368","30303nm","Extra Large",-1.38504539597731,"combined_saccade"
"369","30303vm","Small",-3.26179135339376,"combined_saccade"
"370","30303vm","Medium",2.98971674037019,"combined_saccade"
"371","30303vm","Large",1.10881381519763,"combined_saccade"
"372","30303vm","Extra Large",6.38357934605851,"combined_saccade"
"373","30308dh","Small",1.30865028555994,"combined_saccade"
"374","30308dh","Medium",1.24953364963963,"combined_saccade"
"375","30308dh","Large",-1.14636693819833,"combined_saccade"
"376","30308dh","Extra Large",1.19978194858068,"combined_saccade"
"377","30310kl","Small",4.20469398808779,"combined_saccade"
"378","30310kl","Medium",2.03505820756393,"combined_saccade"
"379","30310kl","Large",0.217390541716093,"combined_saccade"
"380","30310kl","Extra Large",0.994396694292147,"combined_saccade"
"381","30313jp","Small",2.65001080478292,"combined_saccade"
"382","30313jp","Medium",1.27204488005213,"combined_saccade"
"383","30313jp","Large",0.930698082058595,"combined_saccade"
"384","30313jp","Extra Large",1.81273453233082,"combined_saccade"
"385","30314am","Small",2.44310213405383,"combined_saccade"
"386","30314am","Medium",2.94242636764249,"combined_saccade"
"387","30314am","Large",3.51722172241046,"combined_saccade"
"388","30314am","Extra Large",2.71120370446562,"combined_saccade"
"389","30317em","Small",1.33003883355122,"combined_saccade"
"390","30317em","Medium",0.0154508114241049,"combined_saccade"
"391","30317em","Large",-0.631910874953263,"combined_saccade"
"392","30317em","Extra Large",1.81163656965638,"combined_saccade"
"393","30404jm","Small",3.88412886357888,"combined_saccade"
"394","30404jm","Medium",5.96010265881821,"combined_saccade"
"395","30404jm","Large",1.93100702762801,"combined_saccade"
"396","30404jm","Extra Large",2.6816327395374,"combined_saccade"
"397","30406db","Small",4.95861810903455,"combined_saccade"
"398","30406db","Medium",6.85103692043588,"combined_saccade"
"399","30406db","Large",3.92656642093614,"combined_saccade"
"400","30406db","Extra Large",4.29670083306291,"combined_saccade"
"401","30410mc","Small",4.69749532421403,"combined_saccade"
"402","30410mc","Medium",2.29808686141568,"combined_saccade"
"403","30410mc","Large",0.405031013201667,"combined_saccade"
"404","30410mc","Extra Large",1.52057483440836,"combined_saccade"
"405","30411ao","Small",2.24317126591833,"combined_saccade"
"406","30411ao","Medium",1.44581207808213,"combined_saccade"
"407","30411ao","Large",2.26729630131962,"combined_saccade"
"408","30411ao","Extra Large",1.60249224302524,"combined_saccade"
"409","30414sh","Small",5.87243694350133,"combined_saccade"
"410","30414sh","Medium",-0.571941077208653,"combined_saccade"
"411","30414sh","Large",1.88669725601392,"combined_saccade"
"412","30414sh","Extra Large",0.271784033963026,"combined_saccade"
"413","30417mg","Small",1.55542042830875,"combined_saccade"
"414","30417mg","Medium",0.682218439625481,"combined_saccade"
"415","30417mg","Large",0.647463845105213,"combined_saccade"
"416","30417mg","Extra Large",0.477496122132878,"combined_saccade"
"417","30418sf","Small",1.87494851867804,"combined_saccade"
"418","30418sf","Medium",1.7326220327702,"combined_saccade"
"419","30418sf","Large",2.74468395446998,"combined_saccade"
"420","30418sf","Extra Large",1.63264907361459,"combined_saccade"
"421","30420im","Small",0.540576253752814,"combined_saccade"
"422","30420im","Medium",0.872194748108316,"combined_saccade"
"423","30420im","Large",-0.0625966886395252,"combined_saccade"
"424","30420im","Extra Large",1.78925662930254,"combined_saccade"
"425","30421sg","Small",1.7683033672136,"combined_saccade"
"426","30421sg","Medium",2.77925277131632,"combined_saccade"
"427","30421sg","Large",2.76413779331822,"combined_saccade"
"428","30421sg","Extra Large",1.5891445487292,"combined_saccade"
"429","30425mk","Small",3.98555173183588,"combined_saccade"
"430","30425mk","Medium",2.80266851388704,"combined_saccade"
"431","30425mk","Large",1.08584615920891,"combined_saccade"
"432","30425mk","Extra Large",0.999227100432388,"combined_saccade"
"433","30428jl","Small",1.83856501947393,"combined_saccade"
"434","30428jl","Medium",-0.00661042815002588,"combined_saccade"
"435","30428jl","Large",-0.366018144932491,"combined_saccade"
"436","30428jl","Extra Large",-2.65649193243481,"combined_saccade"
"437","30501rb","Small",1.93688294744664,"combined_saccade"
"438","30501rb","Medium",0.871403279298274,"combined_saccade"
"439","30501rb","Large",0.829196146432587,"combined_saccade"
"440","30501rb","Extra Large",0.963642287006643,"combined_saccade"
"441","30502ah","Small",6.05448050800093,"combined_saccade"
"442","30502ah","Medium",9.98058158344255,"combined_saccade"
"443","30502ah","Large",8.11972648418792,"combined_saccade"
"444","30502ah","Extra Large",11.7058818843435,"combined_saccade"
"445","30502mm","Small",3.6464948298407,"combined_saccade"
"446","30502mm","Medium",0.971376851867083,"combined_saccade"
"447","30502mm","Large",0.160105567853186,"combined_saccade"
"448","30502mm","Extra Large",-0.137137841877587,"combined_saccade"
"449","30504lp","Small",4.41919477502896,"combined_saccade"
"450","30504lp","Medium",2.43891996015045,"combined_saccade"
"451","30504lp","Large",2.04806520798939,"combined_saccade"
"452","30504lp","Extra Large",1.94130205152634,"combined_saccade"
"453","30505pp","Small",3.25019626395286,"combined_saccade"
"454","30505pp","Medium",3.15374096848737,"combined_saccade"
"455","30505pp","Large",-2.30534033223009,"combined_saccade"
"456","30505pp","Extra Large",-0.727779997159351,"combined_saccade"
"457","30508ab","Small",0.989582326101051,"combined_saccade"
"458","30508ab","Medium",1.51817906101892,"combined_saccade"
"459","30508ab","Large",-0.0906847869129751,"combined_saccade"
"460","30508ab","Extra Large",0.491396428949696,"combined_saccade"
"461","30509aa","Small",5.74267757904101,"combined_saccade"
"462","30509aa","Medium",1.53528649073837,"combined_saccade"
"463","30509aa","Large",3.95189873091527,"combined_saccade"
"464","30509aa","Extra Large",3.11571595528649,"combined_saccade"
"465","30511ki","Small",3.98936708646167,"combined_saccade"
