"","sid","frame_size","cw","ccw","frame_effect_perception","magnitude"
"197","p30913my","Small",2.884071259,-1.985521199,2.434796229,2.434796229
"198","p30913my","Medium",1.700969256,-1.492901407,1.5969353315,1.5969353315
"199","p30913my","Large",1.485287585,-1.34086989,1.4130787375,1.4130787375
"200","p30913my","Extra Large",0.860032549,-1.750537539,1.305285044,1.305285044
"201","p30914ms","Small",-2.630482577,-3.352670027,0.361093725,0.361093725
"202","p30914ms","Medium",0.241050878,-6.831955163,3.5365030205,3.5365030205
"203","p30914ms","Large",-1.858072124,-4.262134431,1.2020311535,1.2020311535
"204","p30914ms","Extra Large",-4.689635559,-6.479491714,0.8949280775,0.8949280775
"205","p30915vb","Small",2.752327249,0.92755772,0.9123847645,0.9123847645
"206","p30915vb","Medium",4.310194854,0.440197661,1.9349985965,1.9349985965
"207","p30915vb","Large",2.737589239,-1.597626811,2.167608025,2.167608025
"208","p30915vb","Extra Large",5.200672701,-1.405498145,3.303085423,3.303085423
"209","p31006st","Small",5.113924351,-4.42571241,4.7698183805,4.7698183805
"210","p31006st","Medium",4.819443253,-4.387568807,4.60350603,4.60350603
"211","p31006st","Large",4.723020406,-4.175314652,4.449167529,4.449167529
"212","p31006st","Extra Large",3.048391579,-3.206876299,3.127633939,3.127633939
"213","p31013kt","Small",-3.734307578,-4.746838211,0.5062653165,0.5062653165
"214","p31013kt","Medium",-3.806164062,-4.106279742,0.15005784,0.15005784
"215","p31013kt","Large",-3.354627918,-3.9154399,0.280405991,0.280405991
"216","p31013kt","Extra Large",-3.962201541,-4.379902346,0.2088504025,0.2088504025
"217","p31016cm","Small",-0.672088421,-4.853671925,2.090791752,2.090791752
"218","p31016cm","Medium",-1.164354868,-5.586998501,2.2113218165,2.2113218165
"219","p31016cm","Large",-1.811092678,-3.333845909,0.7613766155,0.7613766155
"220","p31016cm","Extra Large",-1.239479115,-4.508919785,1.634720335,1.634720335
"221","p31020md","Small",2.821183288,-2.377172939,2.5991781135,2.5991781135
"222","p31020md","Medium",2.340359338,-1.70135404,2.020856689,2.020856689
"223","p31020md","Large",2.444817891,-1.624020192,2.0344190415,2.0344190415
"224","p31020md","Extra Large",1.974055792,-2.428381696,2.201218744,2.201218744
"225","p31031dm","Small",1.335343853,-2.028563501,1.681953677,1.681953677
"226","p31031dm","Medium",0.628101509,-2.365948582,1.4970250455,1.4970250455
"227","p31031dm","Large",1.338958387,-1.99668282,1.6678206035,1.6678206035
"228","p31031dm","Extra Large",1.951302924,-2.346067868,2.148685396,2.148685396
"229","p31031ki","Small",0.483936786,-3.947394552,2.215665669,2.215665669
"230","p31031ki","Medium",0.049986874,-3.415798724,1.732892799,1.732892799
"231","p31031ki","Large",-0.87653212,-3.320883159,1.2221755195,1.2221755195
"232","p31031ki","Extra Large",-0.261520301,-3.044183357,1.391331528,1.391331528
"233","p31101ch","Small",2.692997729,-0.010120319,1.351559024,1.351559024
"234","p31101ch","Medium",1.958743953,-0.127931143,1.043337548,1.043337548
"235","p31101ch","Large",1.999329555,-0.017179856,1.0082547055,1.0082547055
"236","p31101ch","Extra Large",1.426542957,0.249089628,0.5887266645,0.5887266645
"237","p31103is","Small",4.905314942,-1.887791813,3.3965533775,3.3965533775
"238","p31103is","Medium",4.336187697,-1.6519557,2.9940716985,2.9940716985
"239","p31103is","Large",3.794541753,-1.403017391,2.598779572,2.598779572
"240","p31103is","Extra Large",4.2171625,-1.767754968,2.992458734,2.992458734
"241","p31103tg","Small",-3.860862465,-5.449345904,0.7942417195,0.7942417195
"242","p31103tg","Medium",-4.637762257,-5.026548269,0.194393006,0.194393006
"243","p31103tg","Large",-3.889165928,-4.977715273,0.5442746725,0.5442746725
"244","p31103tg","Extra Large",-3.790133689,-5.649395983,0.929631147,0.929631147
"245","p31106mh","Small",-0.867374572,-3.364676187,1.2486508075,1.2486508075
"246","p31106mh","Medium",-1.482370771,-2.971640796,0.7446350125,0.7446350125
"247","p31106mh","Large",-1.639585608,-2.411499671,0.3859570315,0.3859570315
"248","p31106mh","Extra Large",-1.034726506,-2.367263613,0.6662685535,0.6662685535
"249","p31107sl","Small",3.495253739,-1.591615152,2.5434344455,2.5434344455
"250","p31107sl","Medium",3.719333542,-0.890038778,2.30468616,2.30468616
"251","p31107sl","Large",4.677301183,-1.085523211,2.881412197,2.881412197
"252","p31107sl","Extra Large",4.189233296,-1.651868556,2.920550926,2.920550926
"253","p31108be","Small",3.067937773,-0.274579528,1.6712586505,1.6712586505
"254","p31108be","Medium",3.479549713,-0.858663405,2.169106559,2.169106559
"255","p31108be","Large",2.435159795,0.710278049,0.862440873,0.862440873
"256","p31108be","Extra Large",2.905131446,1.338181789,0.7834748285,0.7834748285
"257","p31113kk","Small",2.568760863,-2.802763222,2.6857620425,2.6857620425
"258","p31113kk","Medium",3.381555545,-2.404156499,2.892856022,2.892856022
"259","p31113kk","Large",3.498042752,-1.964712966,2.731377859,2.731377859
"260","p31113kk","Extra Large",2.014543767,-2.262904897,2.138724332,2.138724332
"261","p31114kp","Small",-3.211697502,-3.04622109,-0.0827382059999999,-0.0827382059999999
"262","p31114kp","Medium",-2.904952953,-3.302132761,0.198589904,0.198589904
"263","p31114kp","Large",-3.571142399,-4.027407805,0.228132703,0.228132703
"264","p31114kp","Extra Large",-3.289942707,-2.284678605,-0.502632051,-0.502632051
"265","p31114mc","Small",5.018113954,-3.282065071,4.1500895125,4.1500895125
"266","p31114mc","Medium",4.761747807,-0.804605067,2.783176437,2.783176437
"267","p31114mc","Large",3.455784191,0.518137689,1.468823251,1.468823251
"268","p31114mc","Extra Large",3.506968386,0.077383213,1.7147925865,1.7147925865
"269","p31115sr","Small",3.642193986,-2.829127568,3.235660777,3.235660777
"270","p31115sr","Medium",2.431889634,-1.131088386,1.78148901,1.78148901
